DBCODE,ENTITY,REACH,SERIES,TEST,DATANUM,DATE,TIME,CONCEN,MASSFLUX,DISCHARGE,TEMP
HF011,1,WS3,Early,1,76,4/21/2001,380,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,77,4/21/2001,385,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,78,4/21/2001,390,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,79,4/21/2001,395,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,80,4/21/2001,400,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,81,4/21/2001,405,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,82,4/21/2001,410,0.01,0.27,27.5,7.4
HF011,1,WS3,Early,1,83,4/21/2001,415,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,84,4/21/2001,420,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,85,4/21/2001,425,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,86,4/21/2001,430,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,87,4/21/2001,435,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,88,4/21/2001,440,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,89,4/21/2001,445,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,90,4/21/2001,450,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,91,4/21/2001,455,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,92,4/21/2001,460,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,93,4/21/2001,465,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,94,4/21/2001,470,0.01,0.3,27.5,7.4
HF011,1,WS3,Early,1,95,4/21/2001,475,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,96,4/21/2001,480,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,97,4/21/2001,485,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,98,4/21/2001,490,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,99,4/21/2001,495,0,0.11,27.5,7.4
HF011,1,WS3,Early,1,100,4/21/2001,500,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,101,4/21/2001,505,0,-0.09,27.5,7.4
HF011,1,WS3,Early,1,102,4/21/2001,510,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,103,4/21/2001,515,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,104,4/21/2001,520,0,-0.03,27.5,7.4
HF011,1,WS3,Early,1,105,4/21/2001,525,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,106,4/21/2001,530,0,0.08,27.5,7.4
HF011,1,WS3,Early,1,107,4/21/2001,535,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,108,4/21/2001,540,0.01,0.22,27.5,7.4
HF011,1,WS3,Early,1,109,4/21/2001,545,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,110,4/21/2001,550,0,0.02,27.5,7.4
HF011,1,WS3,Early,1,111,4/21/2001,555,0.01,0.16,27.5,7.4
HF011,1,WS3,Early,1,112,4/21/2001,560,0.01,0.27,27.5,7.4
